Q7: The boy threw the ball,Q8: The woman carried the book,Q9: The horse squashed the bug,Q10: The girl threw the rocket,Q11: The boy carried the car,Q12: The machine squashed the truck,Q1: X threw Y,Q2: Y threw X,Q3: X carried Y,Q4: Y carried X,Q5: X squashed Y,Q6: Y squashed X
The ball is bigger than the boy,The book is heavier than the woman,The horse is stronger than the bug,The rocket is bigger than the girl,The boy is heavier than the car,The machine is stronger than the truck,X is smaller than Y,Y is smaller than X,Y is heavier than X,X is heavier than Y,X is stronger than Y,Y is stronger than X
The ball is bigger than the boy,The book is heavier than the woman,The bug is stronger than the horse,The girl is bigger than the rocket,The car is heavier than the boy,The machine is stronger than the truck,X is smaller than Y,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,X is stronger than Y
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the tr+G5uck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The bug is stronger than the horse,The girl is bigger than the rocket,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,X is heavier than Y,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,X is stronger than Y
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,Y is smaller than X,Y is heavier than X,X is heavier than Y,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The rocket is bigger than the girl,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The rocket is bigger than the girl,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The rocket is bigger than the girl,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The ball is bigger than the boy,The book is heavier than the woman,The horse is stronger than the bug,The rocket is bigger than the girl,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The rocket is bigger than the girl,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The rocket is bigger than the girl,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,X is heavier than Y,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The rocket is bigger than the girl,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The car is heavier than the boy,The truck is stronger than the machine,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,Y is heavier than X,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The rocket is bigger than the girl,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The rocket is bigger than the girl,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The rocket is bigger than the girl,The car is heavier than the boy,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X
The boy is bigger than the ball,The woman is heavier than the book,The horse is stronger than the bug,The girl is bigger than the rocket,The boy is heavier than the car,The machine is stronger than the truck,Y is smaller than X,X is smaller than Y,X is heavier than Y,Y is heavier than X,X is stronger than Y,Y is stronger than X